time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),sunshine_duration (s)
2015-01-01,-5.0,-2.3,-7.6,-12.0,-8.6,-14.7,0.00,0.00,0.14,0.0,29.2,62.3,239,239,50.5,24.1,44.6,20.5,52,66,45,7144.24
2015-01-02,-3.1,-1.1,-5.3,-8.5,-7.4,-10.0,0.00,0.00,0.00,0.0,21.5,46.1,278,278,32.5,14.2,10.1,2.6,53,71,33,28410.43
2015-01-03,-1.8,1.0,-5.9,-6.5,-2.0,-10.1,15.10,7.20,5.53,12.0,24.3,47.5,112,112,28.2,13.7,4.3,1.9,80,96,53,0.00
2015-01-04,1.4,5.0,-2.3,-2.5,0.9,-8.7,8.60,8.20,0.28,12.0,23.7,55.1,272,272,29.3,11.6,5.0,1.5,89,100,72,5698.81
2015-01-05,-9.2,-3.3,-12.6,-16.5,-10.3,-18.9,0.00,0.00,0.28,0.0,28.4,59.0,273,273,49.3,24.2,27.7,15.0,49,65,35,26416.57
2015-01-06,-10.3,-7.6,-12.7,-16.3,-14.3,-18.8,0.00,0.00,0.28,0.0,22.7,43.2,242,242,31.3,15.7,21.2,9.0,55,61,45,19772.85
2015-01-07,-14.2,-9.1,-17.1,-20.9,-15.8,-24.0,0.40,0.00,0.35,3.0,23.5,50.8,308,308,41.5,19.7,23.4,9.6,53,62,40,28462.45
2015-01-08,-12.1,-9.5,-15.9,-19.0,-16.5,-21.2,0.70,0.00,0.56,3.0,26.9,56.2,230,230,43.5,21.6,20.5,10.1,61,68,51,21150.89
2015-01-09,-9.4,-6.8,-12.2,-16.3,-14.0,-19.0,1.70,0.00,1.33,4.0,28.4,66.2,249,249,47.5,22.7,37.4,19.3,63,74,50,28167.31
2015-01-10,-13.2,-10.0,-15.5,-19.9,-17.1,-22.1,0.00,0.00,0.00,0.0,24.8,50.8,240,240,41.0,20.4,33.1,16.3,65,69,58,29046.32
2015-01-11,-7.3,-1.4,-14.3,-12.6,-6.6,-20.3,0.00,0.00,0.00,0.0,17.0,36.4,220,220,26.6,13.4,16.6,9.3,65,75,54,27696.56
2015-01-12,-3.9,-1.3,-11.8,-8.9,-5.8,-18.4,2.30,0.00,1.75,14.0,20.7,40.3,307,307,28.1,13.7,16.2,6.9,76,89,62,5428.80
2015-01-13,-16.3,-12.5,-20.1,-21.7,-17.2,-25.4,0.00,0.00,0.00,0.0,20.7,40.3,30,30,21.4,10.3,10.1,4.7,64,80,51,29353.36
2015-01-14,-11.2,-6.1,-15.5,-15.7,-10.1,-20.7,0.00,0.00,0.00,0.0,10.3,19.8,172,172,14.6,6.7,6.5,1.0,75,84,55,29462.62
2015-01-15,-10.1,-5.2,-15.6,-15.8,-11.4,-20.7,0.00,0.00,0.07,0.0,22.2,43.2,232,232,28.9,14.9,15.5,8.5,74,79,61,21280.57
2015-01-16,-7.8,-2.0,-15.1,-13.7,-7.3,-19.9,0.10,0.00,0.14,1.0,22.3,46.8,305,305,35.5,16.8,10.8,6.9,64,83,47,29690.50
2015-01-17,-9.0,3.2,-18.2,-14.4,-2.7,-23.4,0.00,0.00,0.00,0.0,24.2,48.6,151,151,27.8,14.1,7.2,2.5,73,83,59,25340.10
2015-01-18,2.4,4.0,-1.1,-2.3,-0.7,-5.7,2.10,2.10,0.00,8.0,24.6,49.7,225,225,37.5,17.3,18.4,10.8,82,93,70,17008.79
2015-01-19,-3.2,-1.2,-7.6,-8.7,-6.0,-13.3,0.00,0.00,0.00,0.0,18.4,39.6,305,305,34.0,15.9,25.6,13.2,64,84,49,28972.72
2015-01-20,-8.6,-5.1,-11.6,-13.4,-9.5,-16.4,0.00,0.00,0.00,0.0,12.8,31.3,351,351,18.4,7.2,10.8,3.8,51,64,31,30179.78
2015-01-21,-9.0,-4.2,-13.4,-13.6,-8.7,-18.2,0.00,0.00,0.00,0.0,10.5,23.0,45,45,15.3,7.5,9.0,5.5,64,71,55,27973.46
2015-01-22,-6.2,-0.7,-11.3,-11.0,-5.8,-16.3,0.00,0.00,0.00,0.0,12.3,26.3,295,295,18.4,8.7,10.4,5.8,60,74,37,30445.21
2015-01-23,-3.2,0.7,-5.3,-8.8,-5.2,-10.6,0.00,0.00,0.00,0.0,22.0,46.4,229,229,33.3,16.9,16.9,12.6,69,80,51,30583.62
2015-01-24,-2.4,0.3,-4.8,-7.1,-4.4,-10.1,0.00,0.00,0.21,0.0,18.6,36.7,250,250,26.4,12.9,18.7,8.4,78,83,66,3557.41
2015-01-25,-8.6,-1.0,-12.9,-14.4,-6.7,-18.9,0.00,0.00,0.00,0.0,19.5,38.5,345,345,31.6,14.9,24.8,9.0,54,76,34,30870.56
2015-01-26,-11.0,-7.8,-13.3,-16.8,-13.9,-19.0,0.00,0.00,0.00,0.0,16.0,36.7,45,45,28.9,14.0,23.4,11.7,54,65,40,31018.63
2015-01-27,-11.0,-6.4,-13.6,-16.6,-12.2,-19.2,0.00,0.00,0.07,0.0,15.6,31.3,3,3,28.5,12.9,25.2,10.1,48,61,27,31169.43
2015-01-28,-9.1,-1.5,-14.0,-14.4,-5.5,-20.0,0.00,0.00,0.00,0.0,16.1,29.5,321,321,21.9,10.4,12.2,1.1,46,67,22,31322.75
2015-01-29,-3.9,-0.4,-9.1,-8.7,-4.1,-13.8,5.90,0.00,4.20,15.0,15.9,34.2,180,180,22.7,11.7,15.1,5.5,73,94,55,34.37
2015-01-30,-10.2,-2.2,-15.7,-16.8,-7.4,-21.2,0.00,0.00,0.00,0.0,29.8,57.2,326,326,43.0,20.6,21.2,8.2,67,81,53,31636.05
2015-01-31,-11.1,-3.4,-17.9,-16.1,-8.7,-23.2,0.00,0.00,0.00,0.0,13.5,31.0,256,256,20.3,10.2,11.9,5.9,68,80,56,31795.59
2015-02-01,-9.2,-4.5,-12.9,-14.7,-8.9,-19.6,2.90,0.00,2.10,8.0,20.5,38.5,35,35,28.0,14.0,19.1,9.8,72,84,59,6270.80
2015-02-02,-15.1,-11.7,-18.0,-21.7,-18.2,-23.7,10.90,0.00,7.70,13.0,25.9,52.2,359,359,39.9,19.5,23.8,10.9,70,78,56,21601.27
2015-02-03,-12.7,-6.4,-18.9,-18.4,-12.5,-24.2,0.00,0.00,0.00,0.0,20.8,42.8,240,240,27.5,14.4,15.8,9.5,73,81,62,31230.36
2015-02-04,-4.9,-1.1,-9.0,-9.6,-6.4,-13.9,1.40,0.00,1.54,9.0,17.7,35.3,258,258,22.5,10.8,12.2,5.4,81,89,69,4402.02
