time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),sunshine_duration (s)
2010-01-01,-1.8,-0.1,-7.6,-6.6,-4.2,-14.3,1.20,0.00,1.19,6.0,21.4,45.0,293,293,28.7,14.0,14.0,9.0,79,93,59,4924.69
2010-01-02,-12.5,-8.4,-14.4,-19.3,-15.1,-21.5,0.00,0.00,0.07,0.0,23.5,50.8,326,326,45.0,20.9,40.7,14.3,58,63,49,26298.24
2010-01-03,-12.5,-10.0,-15.1,-19.4,-17.1,-21.9,1.30,0.00,1.19,8.0,28.0,61.6,330,330,50.9,21.9,38.9,17.1,65,70,62,6286.25
2010-01-04,-10.6,-7.7,-12.6,-16.4,-13.6,-19.2,0.00,0.00,0.21,0.0,20.1,45.4,336,336,37.7,15.4,28.4,9.3,70,77,62,25221.31
2010-01-05,-8.8,-6.1,-11.7,-14.0,-10.9,-16.7,1.40,0.00,1.26,8.0,16.9,37.1,328,328,27.9,12.0,19.8,7.7,75,78,68,5900.95
2010-01-06,-6.8,-3.9,-8.7,-12.0,-9.6,-14.0,0.00,0.00,0.00,0.0,18.1,36.0,321,321,29.3,13.7,24.5,8.9,76,80,67,25770.04
2010-01-07,-6.3,-2.6,-7.9,-10.8,-6.4,-13.0,0.00,0.00,0.00,0.0,12.3,26.3,331,331,19.4,8.8,11.9,4.3,77,82,67,17747.35
2010-01-08,-9.9,-7.9,-12.4,-15.7,-13.1,-18.3,0.30,0.00,0.70,3.0,20.3,41.4,350,350,33.8,15.8,23.0,12.3,74,80,63,17159.36
2010-01-09,-13.4,-9.2,-16.4,-19.1,-14.6,-22.3,0.00,0.00,0.00,0.0,17.0,33.1,345,345,26.0,13.0,17.6,8.3,68,77,53,28958.43
2010-01-10,-10.3,-3.8,-15.5,-15.9,-9.7,-20.8,0.00,0.00,0.00,0.0,20.7,38.5,253,253,27.1,14.2,16.2,8.9,73,80,62,29053.76
2010-01-11,-7.2,-5.0,-8.6,-12.2,-9.0,-14.9,0.50,0.00,0.84,5.0,20.9,38.2,251,251,23.4,11.0,6.5,2.0,72,83,66,12554.39
2010-01-12,-8.9,-5.8,-11.2,-14.0,-11.3,-16.4,0.00,0.00,0.00,0.0,16.0,30.6,334,334,24.2,11.2,14.4,6.8,74,84,57,26228.34
2010-01-13,-4.5,-0.2,-11.0,-9.5,-5.0,-15.8,0.00,0.00,0.00,0.0,19.5,42.1,241,241,26.4,13.1,15.5,7.7,78,83,68,23991.18
2010-01-14,-1.9,3.1,-7.0,-6.4,-1.4,-11.5,0.00,0.00,0.00,0.0,18.6,37.4,222,222,24.9,12.1,13.0,6.1,82,89,70,29477.91
2010-01-15,1.4,2.9,-1.1,-2.7,-1.1,-5.0,0.00,0.00,0.00,0.0,17.9,33.8,271,271,25.2,12.1,14.0,6.2,81,88,68,8909.48
2010-01-16,-0.2,3.4,-3.2,-4.4,-0.3,-7.9,0.00,0.00,0.00,0.0,15.3,28.1,240,240,21.9,10.8,15.1,6.3,78,88,62,29249.84
2010-01-17,-1.0,2.5,-4.2,-4.3,-0.1,-7.7,0.00,0.00,0.00,0.0,10.4,27.7,152,152,14.4,5.8,4.7,1.5,89,95,81,22849.04
